account_id,customer_id,account_type,account_product_name,account_number_masked,account_status,opening_date,currency,average_monthly_balance
ACC00001,CUST00001,Savings,Millennia Savings Account,XXXXXX3547,Active,2021-03-02,INR,107705.94
ACC00002,CUST00002,Salary,Premium Salary Account,XXXXXX9179,Active,2021-04-20,INR,220856.63
ACC00003,CUST00003,Savings,Savings Max,XXXXXX8787,Active,2025-11-29,INR,1024437.65
ACC00003B,CUST00003,Savings,Digital Savings Account,XXXXXX4470,Active,2026-03-11,INR,1287634.76
ACC00004,CUST00004,Salary,Premium Salary Account,XXXXXX3697,Active,2018-07-03,INR,84926.26
ACC00005,CUST00005,Savings,Millennia Savings Account,XXXXXX3584,Active,2023-01-14,INR,374346.14
ACC00006,CUST00006,Savings,Digital Savings Account,XXXXXX5371,Active,2022-02-20,INR,159209.07
ACC00007,CUST00007,Salary,Salary Account,XXXXXX5700,Active,2025-04-17,INR,162191.48
ACC00008,CUST00008,Salary,Salary Account,XXXXXX7797,Active,2020-10-30,INR,390839.92
ACC00009,CUST00009,Savings,Savings Max,XXXXXX2771,Active,2023-04-06,INR,581483.05
ACC00010,CUST00010,Savings,Millennia Savings Account,XXXXXX1166,Active,2024-03-15,INR,526703.24
ACC00011,CUST00011,Salary,Premium Salary Account,XXXXXX1878,Active,2023-08-15,INR,109214.31
ACC00012,CUST00012,Savings,Digital Savings Account,XXXXXX7690,Active,2025-05-27,INR,534519.94
ACC00013,CUST00013,Savings,Regular Savings Account,XXXXXX7798,Active,2021-10-28,INR,44869.2
ACC00014,CUST00014,Salary,Salary Account,XXXXXX3529,Active,2023-07-29,INR,220563.33
ACC00015,CUST00015,Savings,Digital Savings Account,XXXXXX6881,Active,2025-06-04,INR,5000
ACC00016,CUST00016,Savings,Savings Max,XXXXXX5835,Active,2020-02-22,INR,246271.04
ACC00017,CUST00017,Savings,Savings Max,XXXXXX7797,Active,2026-07-18,INR,110867.54
ACC00018,CUST00018,Current,Business Current Account,XXXXXX6931,Active,2025-07-28,INR,387787.54
ACC00019,CUST00019,Salary,Premium Salary Account,XXXXXX1842,Active,2026-05-12,INR,713313.6
ACC00020,CUST00020,Current,Business Current Account,XXXXXX3116,Active,2025-02-04,INR,509793.4
ACC00021,CUST00021,Salary,Salary Account,XXXXXX9307,Active,2025-10-04,INR,380727.27
ACC00022,CUST00022,Savings,Regular Savings Account,XXXXXX6517,Active,2025-06-17,INR,649287.77
ACC00023,CUST00023,Current,Regular Current Account,XXXXXX2298,Active,2026-05-30,INR,189847.99
ACC00024,CUST00024,Savings,Savings Max,XXXXXX4268,Active,2025-04-22,INR,119229.82
ACC00025,CUST00025,Savings,Regular Savings Account,XXXXXX7655,Active,2021-07-09,INR,194589.39
ACC00026,CUST00026,Salary,Premium Salary Account,XXXXXX9612,Active,2025-05-22,INR,553093.7
ACC00027,CUST00027,Savings,Millennia Savings Account,XXXXXX7532,Active,2024-04-05,INR,215219.4
ACC00028,CUST00028,Salary,Salary Account,XXXXXX6218,Active,2026-05-16,INR,108117.46
ACC00029,CUST00029,Savings,Digital Savings Account,XXXXXX5038,Active,2023-11-23,INR,191995.92
ACC00030,CUST00030,Salary,Salary Account,XXXXXX6411,Active,2025-12-17,INR,522213.35
ACC00030B,CUST00030,Savings,Savings Max,XXXXXX1084,Active,2026-05-06,INR,1090668.28
ACC00031,CUST00031,Savings,Millennia Savings Account,XXXXXX5947,Active,2025-02-01,INR,271733.12
ACC00032,CUST00032,Savings,Digital Savings Account,XXXXXX7184,Active,2025-08-01,INR,49308.57
ACC00033,CUST00033,Savings,Savings Max,XXXXXX5739,Active,2022-10-29,INR,60815.48
ACC00034,CUST00034,Salary,Salary Account,XXXXXX4082,Active,2018-06-19,INR,840542.05
ACC00035,CUST00035,Salary,Premium Salary Account,XXXXXX1257,Active,2025-10-25,INR,101532.4
ACC00036,CUST00036,Savings,Regular Savings Account,XXXXXX6666,Active,2024-12-09,INR,190085.35
ACC00037,CUST00037,Salary,Premium Salary Account,XXXXXX3219,Active,2020-02-07,INR,310496.61
ACC00038,CUST00038,Savings,Millennia Savings Account,XXXXXX9796,Active,2026-06-06,INR,612846.56
ACC00039,CUST00039,Savings,Digital Savings Account,XXXXXX4232,Active,2024-09-03,INR,221224.83
ACC00040,CUST00040,Salary,Salary Account,XXXXXX4613,Active,2026-03-06,INR,436339.83
ACC00041,CUST00041,Savings,Digital Savings Account,XXXXXX5402,Active,2021-08-05,INR,827537.57
ACC00042,CUST00042,Salary,Salary Account,XXXXXX7493,Active,2019-05-10,INR,212031.5
ACC00043,CUST00043,Salary,Salary Account,XXXXXX5842,Active,2022-12-17,INR,53570.63
ACC00044,CUST00044,Savings,Digital Savings Account,XXXXXX2083,Active,2025-09-10,INR,189088.93
ACC00045,CUST00045,Salary,Salary Account,XXXXXX5006,Active,2023-07-15,INR,124034.33
ACC00046,CUST00046,Salary,Premium Salary Account,XXXXXX2391,Active,2023-10-16,INR,233664.97
ACC00047,CUST00047,Savings,Savings Max,XXXXXX8570,Active,2021-09-26,INR,65782.56
ACC00048,CUST00048,Savings,Millennia Savings Account,XXXXXX4813,Active,2026-08-03,INR,711550.31
ACC00049,CUST00049,Salary,Premium Salary Account,XXXXXX3580,Active,2026-02-03,INR,349011.19
ACC00050,CUST00050,Savings,Millennia Savings Account,XXXXXX2715,Active,2023-02-08,INR,54286.39
ACC00051,CUST00051,Salary,Premium Salary Account,XXXXXX9013,Active,2023-09-08,INR,227307.89
ACC00052,CUST00052,Current,Regular Current Account,XXXXXX2641,Active,2025-07-27,INR,1315596.67
ACC00053,CUST00053,Salary,Premium Salary Account,XXXXXX5488,Active,2023-11-23,INR,229155.15
ACC00054,CUST00054,Salary,Premium Salary Account,XXXXXX3456,Active,2019-03-13,INR,271142.59
ACC00055,CUST00055,Salary,Salary Account,XXXXXX3595,Active,2021-02-19,INR,470690.77
ACC00056,CUST00056,Savings,Regular Savings Account,XXXXXX7828,Active,2020-03-12,INR,253554.69
ACC00057,CUST00057,Savings,Millennia Savings Account,XXXXXX8606,Active,2019-12-29,INR,32994.56
ACC00058,CUST00058,Savings,Savings Max,XXXXXX6542,Active,2026-08-14,INR,164927.71
ACC00059,CUST00059,Salary,Premium Salary Account,XXXXXX8414,Active,2026-05-23,INR,56486.0
ACC00060,CUST00060,Savings,Savings Max,XXXXXX7762,Active,2019-12-27,INR,645372.62
ACC00061,CUST00061,Savings,Millennia Savings Account,XXXXXX7251,Active,2020-11-01,INR,80443.77
ACC00062,CUST00062,Salary,Salary Account,XXXXXX8780,Active,2026-06-04,INR,97450.03
ACC00063,CUST00063,Savings,Savings Max,XXXXXX7950,Active,2026-07-19,INR,896700.2
ACC00063B,CUST00063,Savings,Digital Savings Account,XXXXXX2181,Active,2026-08-11,INR,1216510.98
ACC00064,CUST00064,Savings,Digital Savings Account,XXXXXX2198,Active,2026-03-21,INR,47975.27
ACC00065,CUST00065,Savings,Regular Savings Account,XXXXXX1305,Active,2025-06-07,INR,463655.35
ACC00066,CUST00066,Savings,Regular Savings Account,XXXXXX6309,Active,2026-01-22,INR,152475.77
ACC00067,CUST00067,Salary,Salary Account,XXXXXX3979,Active,2026-08-03,INR,52499.18
ACC00068,CUST00068,Salary,Salary Account,XXXXXX2373,Active,2026-04-04,INR,458693.91
ACC00069,CUST00069,Salary,Premium Salary Account,XXXXXX1941,Active,2026-02-15,INR,112386.54
ACC00070,CUST00070,Salary,Salary Account,XXXXXX8517,Active,2024-07-31,INR,136155.0
ACC00071,CUST00071,Savings,Digital Savings Account,XXXXXX1533,Active,2026-08-07,INR,661631.37
ACC00072,CUST00072,Salary,Salary Account,XXXXXX9821,Active,2026-05-12,INR,306617.56
ACC00073,CUST00073,Salary,Premium Salary Account,XXXXXX8801,Active,2026-05-09,INR,60646.78
ACC00074,CUST00074,Salary,Salary Account,XXXXXX8161,Active,2025-03-06,INR,138914.45
ACC00074B,CUST00074,Savings,Digital Savings Account,XXXXXX7199,Active,2025-10-17,INR,168871.25
ACC00075,CUST00075,Savings,Digital Savings Account,XXXXXX6113,Active,2024-03-02,INR,138958.23
ACC00076,CUST00076,Current,Regular Current Account,XXXXXX6696,Active,2026-08-09,INR,455381.4
ACC00077,CUST00077,Savings,Digital Savings Account,XXXXXX4164,Active,2025-08-09,INR,78201.57
ACC00078,CUST00078,Savings,Savings Max,XXXXXX1107,Active,2025-01-03,INR,289678.25
ACC00078B,CUST00078,Savings,Millennia Savings Account,XXXXXX1355,Active,2025-10-12,INR,1120707.76
ACC00079,CUST00079,Savings,Savings Max,XXXXXX2173,Active,2022-08-30,INR,128555.44
ACC00080,CUST00080,Salary,Salary Account,XXXXXX4258,Active,2024-12-04,INR,434612.5
ACC00081,CUST00081,Savings,Savings Max,XXXXXX6221,Active,2020-10-17,INR,795355.98
